simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
295,onc_0295,2643,1256,735.5,heated
296,onc_0296,4711,879,622.5,heated
297,onc_0297,3393,1087,675,heated
298,onc_0298,3595,1064,655.5,heated
299,onc_0299,3470,1072,693,heated
300,onc_0300,3035,1142,961.5,heated
301,onc_0301,3560,1086,1004,unheated
302,onc_0302,2129,1491,967.5,heated
303,onc_0303,3130,1113,1079,unheated
304,onc_0304,3543,1053,637.5,heated
305,onc_0305,2006,1488,1071,heated
306,onc_0306,2924,1219,781,heated
307,onc_0307,4741,908,661.5,heated
308,onc_0308,3127,1150,724.5,heated
309,onc_0309,2724,1261,987,heated
310,onc_0310,2211,1441,851,heated
311,onc_0311,3657,1045,637.5,heated
312,onc_0312,2834,1241,854,heated
313,onc_0313,2720,1233,726.5,heated
314,onc_0314,3632,998,877,heated
315,onc_0315,3209,1153,753.5,heated
316,onc_0316,2400,1306,1108,heated
317,onc_0317,4692,877.5,551.5,heated
318,onc_0318,2357,1336,1121,heated
319,onc_0319,4194,927.5,634.5,heated
320,onc_0320,2316,1378,780,heated
321,onc_0321,2409,1369,818.5,heated
322,onc_0322,2351,1375,781.5,heated
323,onc_0323,2093,1485,905.5,heated
324,onc_0324,2805,1239,770.5,heated
325,onc_0325,2913,1218,786.5,heated
326,onc_0326,2417,1266,1203,unheated
327,onc_0327,2352,1315,1235,unheated
328,onc_0328,3176,1098,817.5,heated
329,onc_0329,3306,1108,656,heated
330,onc_0330,4745,874.5,729,heated
331,onc_0331,3297,1059,935,heated
332,onc_0332,3181,1143,763.5,heated
333,onc_0333,2330,1387,799,heated
334,onc_0334,2642,1253,905.5,heated
335,onc_0335,2484,1319,1033,heated
336,onc_0336,3718,1040,638,heated
337,onc_0337,3042,1181,805,heated
338,onc_0338,2533,1296,924.5,heated
339,onc_0339,2378,1354,791,heated
340,onc_0340,3478,1090,762.5,heated
341,onc_0341,2238,1434,835.5,heated
342,onc_0342,3789,1027,690.5,heated
343,onc_0343,2062,1493,931.5,heated
344,onc_0344,2644,1262,752.5,heated
345,onc_0345,3703,1035,740,heated
346,onc_0346,3951,964.5,963,unheated
