simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
493,onc_0493,2334,1134,1007,heated
494,onc_0494,3392,935.5,925,unheated
495,onc_0495,1743,1482,1339,heated
496,onc_0496,2113,1232,1026,heated
497,onc_0497,2050,1241,1033,heated
498,onc_0498,3033,1107,909.5,heated
499,onc_0499,1783,1384,1101,heated
500,onc_0500,1960,1343,1291,unheated
501,onc_0501,2571,1231,994.5,heated
502,onc_0502,2114,1298,1240,unheated
503,onc_0503,1726,1427,1135,heated
504,onc_0504,1972,1294,1037,heated
505,onc_0505,3257,923.5,756.5,heated
506,onc_0506,1750,1414,1201,heated
507,onc_0507,1906,1405,1227,heated
508,onc_0508,1753,1385,1346,unheated
509,onc_0509,1619,1414,1304,heated
510,onc_0510,2066,1244,1012.5,heated
511,onc_0511,1831,1306,1127,heated
512,onc_0512,1740,1404,1360,unheated
513,onc_0513,4682,881,820,unheated
514,onc_0514,2576,1058,865,heated
515,onc_0515,3387,916,847.5,unheated
516,onc_0516,2530,1056,872,heated
517,onc_0517,2890,1058,1058,unheated
518,onc_0518,1791,1329,1120,heated
519,onc_0519,2090,1447,1167,heated
520,onc_0520,2018,1318,1104,heated
521,onc_0521,2212,1195,1112,unheated
522,onc_0522,2685,1070,985.5,unheated
523,onc_0523,2025,1237,994,heated
524,onc_0524,3354,956,792.5,heated
525,onc_0525,2216,1186,964,heated
526,onc_0526,1625,1404,1229,heated
527,onc_0527,3887,926.5,880,unheated
528,onc_0528,4006,898.5,752,heated
529,onc_0529,2040,1238,1002.5,heated
530,onc_0530,2514,1097,888.5,heated
531,onc_0531,1844,1295,1077,heated
532,onc_0532,2324,1238,993.5,heated
533,onc_0533,1674,1497,1232,heated
534,onc_0534,2130,1285,1063,heated
535,onc_0535,2964,967.5,806.5,heated
536,onc_0536,2932,974.5,802,heated
537,onc_0537,2529,1089,882,heated
538,onc_0538,3139,962.5,859.5,heated
539,onc_0539,1658,1391,1304,unheated
540,onc_0540,3052,950.5,780,heated
541,onc_0541,2377,1236,988.5,heated
542,onc_0542,3183,926.5,763.5,heated
543,onc_0543,2114,1248,998.5,heated
544,onc_0544,1916,1241,1040,heated
545,onc_0545,2281,1132,913.5,heated
546,onc_0546,3266,910,759,heated
547,onc_0547,3453,975,858.5,heated
548,onc_0548,2484,1112,898.5,heated
549,onc_0549,1677,1422,1157,heated
550,onc_0550,2122,1277,1232,unheated
551,onc_0551,3978,950,790,heated
552,onc_0552,2265,1112,913,heated
553,onc_0553,2749,1133,1115,unheated
554,onc_0554,3294,1070,896,heated
555,onc_0555,2247,1170,939,heated
556,onc_0556,1762,1420,1133,heated
557,onc_0557,2535,1082,879.5,heated
558,onc_0558,2129,1306,1173,heated
559,onc_0559,1887,1295,1077,heated
560,onc_0560,3707,1003,847,heated
561,onc_0561,3088,973.5,812,heated
562,onc_0562,1944,1361,1107,heated
563,onc_0563,2180,1178,1061,heated
564,onc_0564,2150,1183,1007.5,heated
565,onc_0565,3053,930,773,heated
566,onc_0566,1700,1412,1147,heated
567,onc_0567,2185,1231,1083,heated
568,onc_0568,2298,1140,930,heated
569,onc_0569,2390,1123,907.5,heated
570,onc_0570,2971,969,793,heated
571,onc_0571,2102,1323,1125,heated
572,onc_0572,2936,959,786.5,heated
573,onc_0573,2325,1130,983.5,heated
574,onc_0574,1974,1305,1040,heated
575,onc_0575,2077,1188,1005.5,heated
576,onc_0576,2782,997,817.5,heated
577,onc_0577,1643,1471,1226,heated
578,onc_0578,1873,1379,1099,heated
579,onc_0579,1751,1464,1177,heated
580,onc_0580,1834,1375,1097,heated
581,onc_0581,2012,1464,1237,heated
582,onc_0582,1698,1419,1257,heated
583,onc_0583,1769,1396,1137,heated
584,onc_0584,1824,1392,1125,heated
585,onc_0585,1781,1326,1213,heated
586,onc_0586,2690,1042,898,heated
587,onc_0587,2273,1213,970,heated
588,onc_0588,2171,1189,977,heated
589,onc_0589,2314,1132,942,heated
590,onc_0590,2632,1033,846,heated
591,onc_0591,2708,1089,1038,unheated
592,onc_0592,2068,1337,1185,heated
593,onc_0593,2258,1193,1002,heated
594,onc_0594,3056,1018.5,971,unheated
595,onc_0595,1895,1295,1062,heated
596,onc_0596,2543,1175,945.5,heated
597,onc_0597,1861,1315,1103,heated
598,onc_0598,3882,873,749,heated
599,onc_0599,2172,1134,949.5,heated
600,onc_0600,4495,910.5,780,heated
601,onc_0601,3211,950,892,unheated
602,onc_0602,2674,1027,837.5,heated
603,onc_0603,1799,1441,1151,heated
604,onc_0604,2402,1213,1078,heated
605,onc_0605,2181,1277,1137,heated
606,onc_0606,1632,1470,1167,heated
607,onc_0607,1769,1350,1238,heated
608,onc_0608,2970,964,788.5,heated
609,onc_0609,3077,1069,875,heated
